,600601.SH,600602.SH,600654.SH
20160104,32144.38,5945.7095,43278.07
20160105,32548.35,6058.28,43278.07
20160106,33298.57,6390.87,43278.07
20160107,30124.53,5751.2705,43278.07
20160108,30586.213,5833.1396,43278.07
20160111,28912.629,5249.83,43278.07
20160112,29489.729,5198.66,43278.07
20160113,28393.242,5055.39,43278.07
20160114,29085.76,5157.73,43278.07
20160115,27412.17,4763.73,43278.07
20160118,27643.008,4820.02,43278.07
20160119,28912.629,5075.86,43278.07
20160120,28393.242,4993.99,43278.07
20160121,27469.88,4809.79,43278.07
20160122,27758.432,4860.95,43278.07
20160125,28046.98,4983.76,43278.07
20160126,25276.91,4507.89,43278.07
20160127,24584.39,4323.69,43278.07
20160128,22853.09,4195.77,43278.07
20160129,23776.451,4354.39,43278.07
20160201,23372.48,4277.64,43278.07
20160202,24295.838,4446.49,43278.07
20160203,24757.52,4487.43,43278.07
20160204,25046.072,4615.35,43278.07
20160205,24584.39,4456.73,43278.07
20160215,24238.13,4390.21,43278.07
20160216,26661.94,4579.53,43278.07
20160217,27527.59,5040.04,43278.07
20160218,27700.72,5546.6,43278.07
20160219,27296.75,5434.03,43278.07
20160222,27758.432,5541.49,43278.07
20160223,27527.59,5449.38,43278.07
20160224,27873.85,5643.8203,43278.07
20160225,25161.49,5080.98,43278.07
20160226,25276.91,4937.7,43278.07
20160229,24007.29,4461.84,43278.07
20160301,24699.81,4594.88,43278.07
20160302,26315.68,4814.9,43278.07
20160303,26373.39,4794.43,43278.07
20160304,25450.037,4610.23,43278.07
20160307,26200.27,4758.62,43278.07
20160308,26488.81,4722.8,43278.07
20160309,25507.748,4625.58,43278.07
20160310,24872.938,4574.41,43278.07